model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Strategic (f*_s),1.0,-1.5849010944366455,"[1.0, 0.800000011920929, 0.800000011920929]","[0.5820298790931702, 1.1495658159255981, 0.8651781678199768]",21760,6398,0.29402573529411763
Strat-Imp-Aware (f*_imp),1.0,-1.7138787508010864,"[1.0, 0.800000011920929, 0.800000011920929]","[0.43333154916763306, 1.2989072799682617, 0.8929349184036255]",23659,7123,0.30106936049706245
Optimal Linear classifier (f*),1.0,-0.1466219127178192,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5624904632568359, 1.0959298610687256, 0.8758582472801208]",25798,8083,0.3133188619272812
Strategic (f*_s),1.0,-3.9829466342926025,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5721996426582336, 1.1068761348724365, 0.8617218136787415]",26864,7001,0.26060899344848126
Strat-Imp-Aware (f*_imp),1.0,-4.519258975982666,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.4441811442375183, 1.385478138923645, 0.7635769248008728]",33286,10607,0.3186625007510665
Optimal Linear classifier (f*),1.0,-0.1466219127178192,"[0.5, 0.30000001192092896, 0.5]","[0.5624904632568359, 1.0959298610687256, 0.8758582472801208]",25798,8083,0.3133188619272812
Strategic (f*_s),1.0,-3.981462240219116,"[0.5, 0.30000001192092896, 0.5]","[0.5733945369720459, 1.1090023517608643, 0.8629327416419983]",26991,7068,0.2618650661331555
Strat-Imp-Aware (f*_imp),1.0,-4.506632328033447,"[0.5, 0.30000001192092896, 0.5]","[0.4418647587299347, 1.3805421590805054, 0.7703558206558228]",33197,10551,0.3178299243907582
Optimal Linear classifier (f*),1.0,-0.1466219127178192,"[0.5, 0.800000011920929, 0.5]","[0.5624904632568359, 1.0959298610687256, 0.8758582472801208]",19264,6232,0.3235049833887043
Strategic (f*_s),1.0,-1.9020782709121704,"[0.5, 0.800000011920929, 0.5]","[0.5936020016670227, 1.1662153005599976, 0.9349782466888428]",25676,8059,0.3138728773952329
Strat-Imp-Aware (f*_imp),1.0,-1.7410658597946167,"[0.5, 0.800000011920929, 0.5]","[0.42949071526527405, 1.3109910488128662, 0.8295884132385254]",24320,7701,0.3166529605263158
Optimal Linear classifier (f*),1.0,-0.1466219127178192,"[1.0, 0.800000011920929, 0.5]","[0.5624904632568359, 1.0959298610687256, 0.8758582472801208]",19264,6232,0.3235049833887043
