model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Strat-Imp-Aware (f*_imp),1,0.0396418422460556,"[0.5, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[0.2991248667240143, -0.3375542461872101, 0.5385752320289612, 0.06780294328927994, -0.010388458147644997, 0.7605050802230835]",2900,532,0.18344827586206897
Optimal Linear classifier (f*),0.01,0.7651155591011047,"[1.0, 1.0, 1.0]","[0.42445358633995056, 0.2247580587863922, 1.159712553024292]",16,0,0.0
Strategic (f*_s),0.01,0.7673460841178894,"[1.0, 1.0, 1.0]","[0.4194580912590027, 0.19093835353851318, 1.140014410018921]",22,3,0.13636363636363635
Strat-Imp-Aware (f*_imp),0.01,2.0423505306243896,"[1.0, 1.0, 1.0]","[0.49326208233833313, 0.22579245269298553, 0.8884591460227966]",5,1,0.2
Optimal Linear classifier (f*),0.01,0.7651155591011047,"[1.0, 1.0, 1.0]","[0.42445358633995056, 0.2247580587863922, 1.159712553024292]",16,0,0.0
Strategic (f*_s),0.01,0.7673460841178894,"[1.0, 1.0, 1.0]","[0.4194580912590027, 0.19093835353851318, 1.140014410018921]",22,3,0.13636363636363635
Strat-Imp-Aware (f*_imp),0.01,2.0423505306243896,"[1.0, 1.0, 1.0]","[0.49326208233833313, 0.22579245269298553, 0.8884591460227966]",5,1,0.2
Optimal Linear classifier (f*),1,0.7651155591011047,"[1.0, 1.0, 1.0]","[0.42445358633995056, 0.2247580587863922, 1.159712553024292]",1216,219,0.18009868421052633
Strategic (f*_s),1,-0.3985311686992645,"[1.0, 1.0, 1.0]","[0.4221641421318054, 0.19056332111358643, 1.1951652765274048]",1980,103,0.05202020202020202
Strat-Imp-Aware (f*_imp),1,1.0936508178710938,"[1.0, 1.0, 1.0]","[0.25861456990242004, 0.12594561278820038, 0.4382173717021942]",191,61,0.3193717277486911
Optimal Linear classifier (f*),1,0.7651155591011047,"[0.30000001192092896, 0.4000000059604645, 0.5]","[0.42445358633995056, 0.2247580587863922, 1.159712553024292]",1688,416,0.24644549763033174
Strategic (f*_s),1,-1.5708638429641724,"[0.30000001192092896, 0.4000000059604645, 0.5]","[0.4308769106864929, 0.19208863377571106, 1.184530258178711]",3609,132,0.03657522859517872
Strat-Imp-Aware (f*_imp),1,0.8129541277885437,"[0.30000001192092896, 0.4000000059604645, 0.5]","[0.13654771447181702, 0.08857756853103638, 0.2895938754081726]",127,35,0.2755905511811024
