model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Strat-Imp-Aware (f*_imp),1.0,-0.9519004821777344,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.9331856966018677, 0.03227660804986954, 0.17970207333564758, 0.2708171606063843, 0.14140868186950684, 0.004616045393049717, 0.06884414702653885, 0.12779095768928528]",1081,336,0.3108233117483811
Optimal Linear classifier (f*),2.0,-0.14542895555496216,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.9054892063140869, 0.040777821093797684, 0.15635670721530914, 0.28518274426460266, 0.016025397926568985, 0.05271977186203003, -0.02610725350677967, 0.21677666902542114]",1732,583,0.3366050808314088
Strategic (f*_s),2.0,-2.3675668239593506,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.960149884223938, 0.029410382732748985, 0.16074301302433014, 0.26885440945625305, 0.026777461171150208, 0.06115264818072319, -0.011700985953211784, 0.2114410549402237]",1458,390,0.2674897119341564
Strat-Imp-Aware (f*_imp),2.0,-1.200463056564331,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.6900027394294739, -0.011818787083029747, 0.21664433181285858, 0.42931434512138367, 0.2179448902606964, 0.019962500780820847, 0.19038750231266022, 0.04059719294309616]",1686,621,0.3683274021352313
Optimal Linear classifier (f*),3.0,-0.14542895555496216,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.9054892063140869, 0.040777821093797684, 0.15635670721530914, 0.28518274426460266, 0.016025397926568985, 0.05271977186203003, -0.02610725350677967, 0.21677666902542114]",1784,606,0.3396860986547085
Strategic (f*_s),3.0,-3.5562877655029297,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[1.0040689706802368, 0.03209817782044411, 0.15914541482925415, 0.28469520807266235, 0.013441135175526142, 0.05300922319293022, -0.014545679092407227, 0.2060638666152954]",1819,590,0.3243540406816932
Strat-Imp-Aware (f*_imp),3.0,-0.952832043170929,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.6465070843696594, -0.1449592411518097, -0.0851491391658783, 0.30766597390174866, -0.23178859055042267, -0.14550620317459106, 0.1186884194612503, -0.03452741727232933]",2948,1190,0.40366350067842605
Optimal Linear classifier (f*),1.0,-0.09644943475723267,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.8931891918182373, -0.015499298460781574, 0.21772147715091705, 0.3322351574897766, 0.1097642034292221, 0.10142248868942261, 0.024684399366378784, 0.19162854552268982]",1040,317,0.30480769230769234
Strategic (f*_s),1.0,-1.1822055578231812,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.9499799609184265, 0.05821211263537407, 0.15267407894134521, 0.2790851891040802, 0.06088435649871826, 0.029478294774889946, -0.09813863039016724, 0.25645166635513306]",948,245,0.25843881856540085
Strat-Imp-Aware (f*_imp),1.0,-0.8556827306747437,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.9192715883255005, -0.01520843617618084, 0.19804692268371582, 0.4176589548587799, 0.16877542436122894, 0.0690046176314354, 0.003363757859915495, 0.16322672367095947]",1051,351,0.3339676498572788
